Participant_Name_PrimaryOrganization,Participant_Name_SubordinateOrganization,Participant_ID,Org_Level,Type,Sub_Type,City,ZIP_Code,Delaying_Exchange_until_2026,Request_for_Information,Information_Delivery,Requests_for_Notifications_of_ADT_Events,Own_Technology_URL,Own_Technology_Email,Own_Technology_Phone,Date_DSA_Terminated,Date_Operations_Ceased
Flagstone Healthcare North LLC,Ensign Sonoma LLC,DXF002840,Sub,Subacute Care Facility,Skilled nursing facility,Sonoma,95476-7500,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare North LLC,Ensign Cloverdale LLC,DXF002841,Sub,Subacute Care Facility,Skilled nursing facility,Cloverdale,95425-3811,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare North LLC,Ensign Willits LLC,DXF002842,Sub,Subacute Care Facility,Skilled nursing facility,Willits,95490-7313,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare North LLC,Ensign Montgomery LLC,DXF002843,Sub,Subacute Care Facility,Skilled nursing facility,Santa Rosa,95405-5214,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare North LLC,Ensign Santa Rosa LLC,DXF002844,Sub,Subacute Care Facility,Skilled nursing facility,Santa Rosa,95405-7313,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare North LLC,Ensign Pleasanton LLC,DXF002845,Sub,Subacute Care Facility,Skilled nursing facility,Ukiah,95482-6512,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare North LLC,"Bouverie Healthcare Services, Inc.",DXF002846,Sub,Subacute Care Facility,Skilled nursing facility,Sonoma,95476-7500,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,none identified,DXF002814,Primary,not selected,not selected,San Juan Capistrano,92675,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,City Heights Health Associates LLC,DXF002847,Sub,Subacute Care Facility,Skilled nursing facility,San Diego,92105-4302,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Atlantic Memorial Healthcare Associates, Inc.",DXF002848,Sub,Subacute Care Facility,Skilled nursing facility,Long Beach,90806-2713,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Downey Community Care LLC,DXF002849,Sub,Subacute Care Facility,Skilled nursing facility,Downey,90240-2425,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Pine Forest Healthcare, Inc.",DXF002850,Sub,Subacute Care Facility,Skilled nursing facility,HAWTHORNE,90250-8118,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Bernardo Heights Healthcare, Inc.",DXF002851,Sub,Subacute Care Facility,Skilled nursing facility,San Diego,92128-3423,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Nautilus Healthcare, Inc.",DXF002852,Sub,Subacute Care Facility,Skilled nursing facility,La Jolla,92037-5511,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Rio Hondo Healthcare, Inc.",DXF002853,Sub,Subacute Care Facility,Skilled nursing facility,Downey,90242-4329,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Devonshire Healthcare, Inc.",DXF002854,Sub,Subacute Care Facility,Skilled nursing facility,San Diego,92102-2416,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Mission Trails Healthcare, Inc.",DXF002855,Sub,Subacute Care Facility,Skilled nursing facility,La Mesa,91942-3034,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Tustin Hills Healthcare, Inc.",DXF002856,Sub,Subacute Care Facility,Skilled nursing facility,Santa Ana,92705-7810,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Lemon Grove Health Associates LLC,DXF002857,Sub,Subacute Care Facility,Skilled nursing facility,Lemon Grove,91945-2009,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Jefferson Healthcare, LLC",DXF002858,Sub,Subacute Care Facility,Skilled nursing facility,El Cajon,92020-6012,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"La Veta Healthcare, Inc.",DXF002859,Sub,Subacute Care Facility,Skilled nursing facility,Orange,92868-4132,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Portside Healthcare, Inc.",DXF002860,Sub,Subacute Care Facility,Skilled nursing facility,San Diego,92103-3847,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Ensign Whittier West LLC,DXF002861,Sub,Subacute Care Facility,Skilled nursing facility,Whittier,90606-2502,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Gate Three Healthcare LLC,DXF002862,Sub,Subacute Care Facility,Skilled nursing facility,Laguna Hills,92637-3883,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,West Escondido Healthcare LLC,DXF002863,Sub,Subacute Care Facility,Skilled nursing facility,Escondido,92025-3416,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Parkside Healthcare, Inc.",DXF002864,Sub,Subacute Care Facility,Skilled nursing facility,El Cajon,92020-4416,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Bell Villa Care Associates LLC,DXF002865,Sub,Subacute Care Facility,Skilled nursing facility,Bellflower,90706-6418,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,HB Healthcare Associates LLC,DXF002866,Sub,Subacute Care Facility,Skilled nursing facility,Huntington Beach,92648-1920,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Rose Park Healthcare Associates, Inc.",DXF002867,Sub,Subacute Care Facility,Skilled nursing facility,Long Beach,92648-1920,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Claydelle Healthcare LLC,DXF002868,Sub,Subacute Care Facility,Skilled nursing facility,El Cajon,92020-4505,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Bayside Healthcare, Inc.",DXF002869,Sub,Subacute Care Facility,Skilled nursing facility,Chula Vista,91910-3515,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Southland Management LLC,DXF002870,Sub,Subacute Care Facility,Skilled nursing facility,Norwalk,90650-7544,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"La Jolla Skilled, Inc.",DXF002871,Sub,Subacute Care Facility,Skilled nursing facility,San Diego,92122-5700,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Santa Catalina Healthcare, Inc.",DXF002872,Sub,Subacute Care Facility,Skilled nursing facility,Fullerton,92832-1935,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Fullerton Healthcare, Inc.",DXF002873,Sub,Subacute Care Facility,Skilled nursing facility,Fullerton,92835-1727,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Costa Victoria Healthcare LLC,DXF002874,Sub,Subacute Care Facility,Skilled nursing facility,Costa Mesa,92627-1914,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,"Anza Healthcare, Inc.",DXF002875,Sub,Subacute Care Facility,Skilled nursing facility,El Cajon,92020-6602,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Vista Woods Health Associates LLC,DXF002876,Sub,Subacute Care Facility,Skilled nursing facility,vista,92083-5123,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Flagstone Healthcare South LLC,Ensign Whittier East LLC,DXF002877,Sub,Subacute Care Facility,Skilled nursing facility,Whittier,90603-2642,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
FNA Medical Group,none identified,DXF002346,Primary,Plans,Other plan,Alhambra,91801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fontana Physicians Associates a Medical Corporation,none identified,DXF002197,Primary,Ambulatory Care Settings,Physician practice,FONTANA,92335,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Fontana Physicians Associates a Medical Corporation,Fontana Clinica Medica Familiar,DXF003014,Sub,Ambulatory Care Settings,Physician practice,FONTANA,92335,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Food For Thought,none identified,DXF004564,Primary,Community-Based Organizations,Other community-based service provider,Forestville,95436,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
FOOTHILL COMMUNITY MEDICAL CORP,none identified,DXF004669,Primary,Emergency Medical Service Providers,not selected,AZUSA,91702,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
FOOTHILL COMMUNITY MEDICAL CORP,FOOTHILL COMMUNITY MEDICAL CORP,DXF004671,Sub,Emergency Medical Service Providers,not selected,La Puente,91744,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Foothill Family,none identified,DXF002715,Primary,Community-Based Organizations,Other community-based service provider,Pasadena,91107,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Foothill Pediatric & Adolescent Clinic,none identified,DXF004126,Primary,Ambulatory Care Settings,Physician practice,San Dimas,91773,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fortuna Family Medicine Inc.,none identified,DXF004594,Primary,Ambulatory Care Settings,Rural health center (RHC),Fortuna,95540,Yes,OTHER,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Franciscan Workers of Junipero Serra,none identified,DXF005628,Primary,Community-Based Organizations,Continuum of Care organization (CoC),Salinas,93902,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Frank Sebat, MD, Inc",none identified,DXF001694,Primary,Ambulatory Care Settings,Physician practice,Redding,96099,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fred Brown Recovery Services,none identified,DXF001235,Primary,Community-Based Organizations,Other community-based service provider,San Pedro,90731-5512,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
FREED Center for Independent Living,none identified,DXF004570,Primary,Community-Based Organizations,Other community-based service provider,Grass Valley,95945,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
FREED Center for Independent Living,FREED Center for Independent Living,DXF004571,Sub,Community-Based Organizations,Other community-based service provider,Yuba City,95991,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Freedom Properties-Hemet LLC,none identified,DXF004656,Primary,Subacute Care Facility,Skilled nursing facility,Hemet,92545,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fremont Nephrology Prof Corp,none identified,DXF000611,Primary,Ambulatory Care Settings,Physician practice,Fremont,94538,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fresno American Indian Health Project,none identified,DXF002515,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Fresno,93710,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fresno Community Hospital and Medical Center dba Community Medical Centers,none identified,DXF003693,Primary,Acute Care Settings,General acute care hospital,Fresno,93721,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Fresno Community Hospital and Medical Center dba Community Medical Centers,Clovis Community Medical Center,DXF003723,Sub,Acute Care Settings,General acute care hospital,Clovis,93611,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Fresno Community Hospital and Medical Center dba Community Medical Centers,Fresno Heart and Surgical Hospital,DXF003724,Sub,Acute Care Settings,General acute care hospital,Fresno,93720,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Fresno Community Hospital and Medical Center dba Community Medical Centers,Community Behavioral Health Center,DXF003725,Sub,Acute Care Settings,Psychiatric hospital,Fresno,93720,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Fresno Community Hospital and Medical Center dba Community Medical Centers,Community Subacute And Transitional Care Center,DXF003726,Sub,Subacute Care Facility,Long term acute care hospital,Fresno,93703,No,Manifest MedEx,Manifest MedEx,Manifest MedEx,NA,NA,NA,NA,NA
Fresno-kings-Madera Regional Health Authority dba CalViva Health,none identified,DXF001771,Primary,Plans,Health care service plans and disability insurer,Fresno,93711,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fresno-Madera Area Agency on Aging,none identified,DXF004046,Primary,Community-Based Organizations,Other community-based service provider,Fresno,93711,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Friends of Family Health Center,none identified,DXF003549,Primary,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),La habra,90631,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,none identified,DXF004157,Primary,not selected,not selected,Glendale,91203,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Claremont Manor Care Center,DXF004158,Sub,Subacute Care Facility,Skilled nursing facility,Claremont,91711,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Carlsbad By The Sea,DXF004159,Sub,Subacute Care Facility,Skilled nursing facility,Carlsbad,92208,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Canterbury Woods,DXF004161,Sub,Subacute Care Facility,Skilled nursing facility,Pacific Grove,93950,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,San Francisco Towers,DXF004162,Sub,Subacute Care Facility,Skilled nursing facility,San Francisco,94109,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Spring Lake Village,DXF004163,Sub,Subacute Care Facility,Skilled nursing facility,Santa Rosa,95409,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,St. Paul's Towers,DXF004164,Sub,Subacute Care Facility,Skilled nursing facility,Oakland,94610,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Sunny View Manor,DXF004165,Sub,Subacute Care Facility,Skilled nursing facility,CUPERTINO,95014,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Villa Gardens Health Care Unit,DXF004166,Sub,Subacute Care Facility,Skilled nursing facility,Pasadena,91101,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Front Porch Communities and Services,Webster House,DXF004167,Sub,Subacute Care Facility,Skilled nursing facility,Palo Alto,94301,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fulgent Therapeutics LLC,none identified,DXF005266,Primary,Ancillary Care,Clinical laboratory,El Monte,91731,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Full Circle Health Network,none identified,DXF002787,Primary,Community-Based Organizations,Other community-based service provider,Sacramento,95816,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fullerton Healthcare & Wellness Centre,none identified,DXF002178,Primary,Subacute Care Facility,Skilled nursing facility,Fullerton,92835,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fullerton Healthcare and Wellness Centre dba The Pavilion at Sunny Hills,none identified,DXF003852,Primary,Subacute Care Facility,Skilled nursing facility,Fullerton,92835,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Fulton Gardens Post Acute,none identified,DXF001544,Primary,Community-Based Organizations,Continuum of Care organization (CoC),Stockton,95361,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Galleria Medical Clinic Inc,none identified,DXF003782,Primary,Ambulatory Care Settings,Physician practice,National City,91950,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Garden Grove Convalescent Hospital, Inc",none identified,DXF002999,Primary,Subacute Care Facility,Skilled nursing facility,Garden Grove,92841,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Garden Pediatrics,none identified,DXF001057,Primary,Ambulatory Care Settings,Physician practice,Redlands,92373,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gardena Convalescent Center,none identified,DXF003019,Primary,Subacute Care Facility,Skilled nursing facility,Gardena,90247,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gardens of El Monte,none identified,DXF002980,Primary,Subacute Care Facility,Skilled nursing facility,El Monte,91732,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gardner Health Services,none identified,DXF003796,Primary,Community-Based Organizations,Other community-based service provider,Alviso,95002,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Garfield Health Center,none identified,DXF001592,Primary,Community-Based Organizations,Other community-based service provider,Monterey Park,91770,No,Carequality,Carequality,NOT APPLICABLE,NA,NA,NA,NA,NA
GARY A COHEN MD,none identified,DXF001400,Primary,Ancillary Care,Other ancillary care provider,San Diego,92121,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gary A Gramm,none identified,DXF000523,Primary,Ambulatory Care Settings,Physician practice,Loomis,95650,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
"Gary W. Swenson, MD",none identified,DXF002411,Primary,Ancillary Care,Other ancillary care provider,Rancho Mirage,92270,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gateway Medical Services dba Anderson Walk-In Medical Clinic,none identified,DXF004334,Primary,Ambulatory Care Settings,Urgent care,Anderson,96007,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gautami Agastya MD Inc,none identified,DXF004435,Primary,Ambulatory Care Settings,Physician practice,Tracy,95376,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Gelen R Del Rosario Md INC,none identified,DXF001942,Primary,Community-Based Organizations,Other community-based service provider,Carlsbad,92009,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
GEM Initiative,none identified,DXF003684,Primary,Ambulatory Care Settings,Faculty practice,Long Beach,90801,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
GENEDX LLC,none identified,DXF004196,Primary,Ancillary Care,Clinical laboratory,Stamford,06902,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,none identified,DXF003848,Primary,Subacute Care Facility,Skilled nursing facility,Santa Ana,92707,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Vista Manor Nursing & Rehabilitation Center,DXF003854,Sub,Subacute Care Facility,Skilled nursing facility,San Jose,95116,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Lakeside Special Care Center,DXF003855,Sub,Subacute Care Facility,Skilled nursing facility,Lakeside,92040,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Friendship Manor Nursing & Rehabilitation Center,DXF003856,Sub,Subacute Care Facility,Skilled nursing facility,National City,91950,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Castle Manor Nursing & Rehabilitation Center,DXF003857,Sub,Subacute Care Facility,Skilled nursing facility,National City,91950,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Stanford Court Skilled Nursing & Rehab Center,DXF003858,Sub,Subacute Care Facility,Skilled nursing facility,Santee,92071,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Arbor Hills Nursing Center,DXF003859,Sub,Subacute Care Facility,Skilled nursing facility,La Mesa,91942,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Plum Tree Care Center,DXF003860,Sub,Subacute Care Facility,Skilled nursing facility,San Jose,95124,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Cedar Crest Nursing and Rehabilitation Center,DXF003861,Sub,Subacute Care Facility,Skilled nursing facility,Sunnyvale,94087,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Pleasanton Nursing and Rehabilitation Center,DXF003862,Sub,Subacute Care Facility,Skilled nursing facility,Pleasanton,94566,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,English Oaks Convalescent & Rehabilitation Hospital,DXF003863,Sub,Subacute Care Facility,Skilled nursing facility,Modesto,95350,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Newport Nursing and Rehabilitation Center,DXF003864,Sub,Subacute Care Facility,Skilled nursing facility,Newport Beach,92663,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Canyon Oaks Nursing and Rehabilitation Center,DXF003865,Sub,Subacute Care Facility,Skilled nursing facility,Canoga Park,91303,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Heritage Park Nursing Center,DXF003866,Sub,Subacute Care Facility,Skilled nursing facility,Upland,91786,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Heritage Court Assisted Living,DXF003867,Sub,Subacute Care Facility,Assisted living facility,Upland,91786,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Lompoc Skilled Nursing & Rehabilitation Center,DXF003868,Sub,Subacute Care Facility,Skilled nursing facility,Lompoc,93436,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Kearny Mesa Convalescent and Nursing Home,DXF003869,Sub,Subacute Care Facility,Skilled nursing facility,San Diego,92111,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Gramercy Court,DXF003870,Sub,Subacute Care Facility,Skilled nursing facility,Sacramento,95825,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Gramercy Court,DXF003871,Sub,Subacute Care Facility,Assisted living facility,Sacramento,95825,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Siena Skilled Nursing & Rehabilitation Center,DXF003872,Sub,Subacute Care Facility,Skilled nursing facility,Auburn,95602,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Bayberry Skilled Nursing & Healthcare Center,DXF003873,Sub,Subacute Care Facility,Skilled nursing facility,Concord,94520,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Smith Ranch Skilled Nursing & Rehabilitation Center,DXF003874,Sub,Subacute Care Facility,Skilled nursing facility,San Rafael,94903,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Walnut Creek Skilled Nursing & Rehabilitation Center,DXF003875,Sub,Subacute Care Facility,Skilled nursing facility,Walnut Creek,94595,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Lawton Skilled Nursing & Rehabilitation Center,DXF003876,Sub,Subacute Care Facility,Skilled nursing facility,San Francisco,94122,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Bradley Court,DXF003877,Sub,Subacute Care Facility,Skilled nursing facility,El Cajon,92021,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Temecula Healthcare Center,DXF003878,Sub,Subacute Care Facility,Skilled nursing facility,Temecula,92592,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Temecula Memory Care,DXF003879,Sub,Subacute Care Facility,Other long term care facility,Temecula,92592,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Anberry Nursing and Rehabilitation Center,DXF003880,Sub,Subacute Care Facility,Skilled nursing facility,Atwater,95301,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Generations Healthcare,Horizon Health & Subacute Center,DXF003881,Sub,Subacute Care Facility,Skilled nursing facility,Fresno,93720,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Genesee Medical Group,none identified,DXF001608,Primary,Ambulatory Care Settings,Physician practice,San Diego,92142-1199,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Genesee Medical Group,none identified,DXF001609,Primary,Ambulatory Care Settings,Physician practice,San Diego,92142-1199,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Genesee Medical Group,none identified,DXF001610,Primary,Ambulatory Care Settings,Physician practice,San Diego,92142-1199,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
Genesee Medical Group,none identified,DXF001612,Primary,Ambulatory Care Settings,Physician practice,San Diego,92142-1199,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA
